country_code,code,name,localName,type,parentCode,flagUrl,latLng,localNameSpelling,delete,notes,dateIssued
FR,FR-75,,,Metropolitan collectivity with special status,,,,1,,Changing FR-75 subdivision type from metropolitan department to metropolitan collectivity with special status,2021-11-25
FR,FR-GF,,,,,,,,1,Deleting FR-GF department,2021-11-25
FR,FR-GP,,,,,,,,1,Deleting FR-GP department,2021-11-25
FR,FR-MQ,,,,,,,,1,Deleting FR-MQ department,2021-11-25
FR,FR-RE,,,,,,,,1,Deleting FR-RE department,2021-11-25
FR,FR-YT,,,,,,,,1,Deleting FR-YT department,2021-11-25
FR,FR-971,,,Overseas departmental collectivity,None,,,1,,Changing FR-971 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-972,,,Overseas unique territorial collectivity,None,,,1,,Changing FR-972 subdivision type from overseas department to Overseas unique territorial collectivity,2021-11-25
FR,FR-973,,,Overseas unique territorial collectivity,None,,,1,,Changing FR-973 subdivision type from overseas department to Overseas unique territorial collectivity,2021-11-25
FR,FR-974,,,Overseas departmental collectivity,None,,,1,,Changing FR-974 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-976,,,Overseas departmental collectivity,None,,,1,,Changing FR-976 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-67,,,,FR-6AE,,,1,,Updating parent code of FR-67 to FR-6AE,2021-11-25
FR,FR-68,,,,FR-6AE,,,1,,pdating parent code of FR-68 to FR-6AE,2021-11-25
FR,FR-6AE,Alsace,,European collectivity,FR-GES,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/FR/FR-6AE.svg,"[47.771, 7.335]",1,,Adding FR-6AE subdivision,2021-11-25
FR,FR-69M,Lyon,Métropole de Lyon,Metropolitan collectivity with special status,FR-ARA,https://github.com/amckenna41/iso3166-flag-icons/blob/main/iso3166-2-icons/FR/FR-69M.svg,"[45.767, 4.839]",,,Adding FR-69M subdivision,2021-11-25
GB,GB-ABC,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ABD,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ABE,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AGB,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AGY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AND,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ANN,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ANS,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BAS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BBD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BCP,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BDF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BDG,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BEN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BEX,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BFS,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BGE,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BGW,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BIR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNH,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNS,,,,GB-EnG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BOL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BPL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BST,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BUR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CAM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CAY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CBF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CCG,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CGN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CHE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CHW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CLD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CLK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMA,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CON,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-COV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CRF,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
