subdivisionCode,latLng,boundingBox,geojson,perimeter,neighbours
AD-02,"42.5868,1.6574","[42.5436, 42.6303, 1.562, 1.7869]",,56.11,"AD-03,AD-04,AD-05"
AD-03,"42.536,1.5836","[42.4895, 42.5608, 1.546, 1.7391]",,45.1,"AD-02,AD-04,AD-05,AD-06,AD-07,AD-08"
AD-04,"42.5442,1.5164","[42.51, 42.6069, 1.4136, 1.562]",,43.07,"AD-02,AD-03,AD-05,AD-07,AD-08"
AD-05,"42.601,1.5298","[42.5458, 42.6559, 1.468, 1.6075]",,43.97,"AD-02,AD-03,AD-04"
AD-06,"42.4667,1.4967","[42.4288, 42.5045, 1.4078, 1.5611]",,36.86,"AD-03,AD-07,AD-08"
AD-07,"42.4979,1.5032","[42.4735, 42.5229, 1.4603, 1.5483]",,20.64,"AD-03,AD-04,AD-06,AD-08"
AD-08,"42.4862,1.6038","[42.4499, 42.5238, 1.5216, 1.6633]",,36.2,"AD-03,AD-04,AD-06,AD-07"
AE-AJ,"24.8075,56.0695","[24.7433, 25.623, 55.2351, 56.1141]",,172.45,"AE-AZ,AE-DU,AE-FU,AE-RK,AE-SH,AE-UQ"
AE-AZ,"24.3438,55.1","[22.6316, 25.3638, 51.4161, 56.0174]",,1509.02,"AE-AJ,AE-DU,AE-FU,AE-RK,AE-SH,AE-UQ"
AE-DU,"25.2296,55.2896","[25.0696, 25.3896, 55.1296, 55.4496]",,,"AE-AJ,AE-AZ,AE-SH,AE-UQ"
AE-FU,"25.4147,56.2314","[24.9875, 25.6927, 55.9698, 56.6014]",,418.16,"AE-AJ,AE-AZ,AE-RK,AE-SH"
AE-RK,"25.0438,56.0966","[24.8506, 26.1517, 55.5987, 56.349]",,518.07,"AE-AJ,AE-AZ,AE-FU,AE-SH,AE-UQ"
AE-SH,"25.2798,56.2776","[24.7572, 25.699, 53.9777, 56.6024]",,866.35,"AE-AJ,AE-AZ,AE-DU,AE-FU,AE-RK,AE-UQ"
AE-UQ,"25.5145,55.7183","[25.3122, 25.8531, 55.3758, 55.8769]",,173.28,"AE-AJ,AE-AZ,AE-DU,AE-RK,AE-SH"
AF-BAL,"36.7992,67.2373","[35.6712, 37.3985, 66.2514, 68.2047]",,835.67,"AF-BGL,AF-JOW,AF-KDZ,AF-SAM,AF-SAR"
AF-BAM,"34.75,67.25","[33.9119, 35.481, 66.2769, 68.2664]",,862.03,"AF-BGL,AF-DAY,AF-GHA,AF-GHO,AF-PAR,AF-SAM,AF-SAR,AF-WAR"
AF-BDG,"35.0,63.75","[34.5132, 36.0363, 62.6656, 65.0691]",,816.28,"AF-FYB,AF-GHO,AF-HER"
