subdivisionCode,latLng
AD-02,"42.5868,1.6574"
AD-03,"42.536,1.5836"
AD-04,"42.5442,1.5164"
AD-05,"42.601,1.5298"
AD-06,"42.4667,1.4967"
AD-07,"42.4979,1.5032"
AD-08,"42.4862,1.6038"
AE-AJ,"24.8075,56.0695"
AE-AZ,"24.3438,55.1"
AE-DU,"25.2296,55.2896"
AE-FU,"25.4147,56.2314"
AE-RK,"25.0438,56.0966"
AE-SH,"25.2798,56.2776"
AE-UQ,"25.5145,55.7183"
AF-BAL,"36.7992,67.2373"
AF-BAM,"34.75,67.25"
AF-BDG,"35.0,63.75"
AF-BDS,"36.804,71.3677"
AF-BGL,"35.75,69.0"
AF-DAY,"33.7251,66.2197"
AF-FRA,"32.6071,62.671"
AF-FYB,"35.6481,64.8809"
AF-GHA,"33.315,67.829"
AF-GHO,"34.1605,64.9202"
AF-HEL,"31.0,64.0"
AF-HER,"34.1577,62.2906"
AF-JOW,"36.9666,65.956"
AF-KAB,"34.5,69.4167"
AF-KAN,"30.991,65.7069"
AF-KAP,"34.9056,69.7417"
AF-KDZ,"36.8707,68.7564"
AF-KHO,"33.4015,69.8912"
AF-KNR,"34.95,71.1333"
AF-LAG,"34.7833,70.1833"
AF-LOG,"34.0654,69.1602"
AF-NAN,"34.2204,70.38"
AF-NIM,"30.7754,62.4793"
AF-NUR,"35.3,70.8333"
AF-PAN,"35.4339,69.7931"
AF-PAR,"34.9797,68.9147"
AF-PIA,"33.7057,69.4084"
AF-PKA,"32.3936,68.7037"
AF-SAM,"36.0,67.6667"
AF-SAR,"35.5532,66.2427"
AF-TAK,"36.5941,69.7939"
AF-URU,"32.813,66.0183"
AF-WAR,"34.3191,68.336"
AF-ZAB,"32.3069,67.1299"
AG-03,"17.1218,-61.7812"
AG-04,"17.1152,-61.8583"
AG-05,"17.0548,-61.8602"
AG-06,"17.0326,-61.7707"
AG-07,"17.107,-61.7502"
AG-08,"17.0664,-61.7062"
AG-10,"17.6149,-61.8544"
AG-11,"17.0245,-62.2936"
AL-01,"40.6084,20.1089"
AL-02,"41.428,19.5373"
AL-03,"41.0511,20.1399"
AL-04,"40.742,19.5701"
AL-05,"40.1556,20.2139"
AL-06,"40.5859,20.7361"
AL-07,"42.1886,20.377"
AL-08,"41.7932,19.8891"
AL-09,"41.6222,20.1808"
AL-10,"42.2508,19.596"
AL-11,"41.2584,19.8303"
AL-12,"40.1542,19.7522"
AM-AG,"40.3828,44.1147"
AM-AR,"40.0054,44.7315"
AM-AV,"40.1556,44.0388"
AM-ER,"40.1777,44.5126"
AM-GR,"40.3031,45.3757"
AM-KT,"40.3707,44.6885"
AM-LO,"41.0073,44.49"
AM-SH,"40.9186,43.8404"
AM-SU,"39.3281,46.153"
AM-TV,"40.8275,45.1848"
AM-VD,"39.802,45.4558"
AO-BGO,"-8.3197,13.8656"
AO-BGU,"-12.9105,14.0357"
AO-BIE,"-12.263,17.4968"
AO-CAB,"-5.0564,12.3212"
AO-CCU,"-16.0458,19.5622"
AO-CNN,"-16.5569,15.7867"
AO-CNO,"-9.0297,15.0926"
AO-CUS,"-10.7708,15.0976"
AO-HUA,"-12.6076,15.7411"
AO-HUI,"-14.6958,15.0976"
AO-LNO,"-8.5088,19.7539"
AO-LSU,"-10.1474,20.9908"
