alphaCode,subdivisionCode,name,localOtherName,type,parentCode,flag,latLng,customAttributes,delete,notes,dateIssued
CF,CF-KG,Kémo-Gribingui,,,,,,,,Changing CF-KG name from its Sango translation to French to align with CF's subdivision names,2024-05-01
CY,CY-05,Pafos,,,,,,,,Changing CY-05 name from its Turkish translation to Greek to align with CY's other subdivision names,2024-05-01
CY,CY-06,Keryneia,,,,,,,,Changing CY-06 name from its Turkish translation to Greek to align with CY's other subdivision names,2024-05-01
DJ,DJ-OB,Obock,,,,,,,,Changing DJ-OB name from its Arabic translation to French to align with DJ's other subdivision names,2024-05-01
FI,FI-06,Kanta-Häme,,,,,,,,Changing FI-06 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-11,Pirkanmaa,,,,,,,,Changing FI-11 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-13,Pohjois-Karjala,,,,,,,,Changing FI-13 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-14,Pohjois-Pohjanmaa,,,,,,,,Changing FI-14 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-15,Pohjois-Savo,,,,,,,,Changing FI-15 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-16,Päijät-Häme,,,,,,,,Changing FI-16 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-18,Uusimaa,,,,,,,,Changing FI-18 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FI,FI-19,Varsinais-Suomi,,,,,,,,Changing FI-19 name from its Swedish translation to Finish to align with FI's other subdivision names,2024-05-01
FR,FR-971,,,Overseas departmental collectivity,,,,,,Changing FR-971 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-972,,,Overseas unique territorial collectivity,,,,,,Changing FR-972 subdivision type from overseas department to Overseas unique territorial collectivity,2021-11-25
FR,FR-973,,,Overseas unique territorial collectivity,,,,,,Changing FR-973 subdivision type from overseas department to Overseas unique territorial collectivity,2021-11-25
FR,FR-974,,,Overseas departmental collectivity,,,,,,Changing FR-974 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-976,,,Overseas departmental collectivity,,,,,,Changing FR-976 subdivision type from overseas department to Overseas departmental collectivity,2021-11-25
FR,FR-67,,,,FR-6AE,,,,,Updating parent code of FR-67 to FR-6AE,2021-11-25
FR,FR-68,,,,FR-6AE,,,,,Updating parent code of FR-68 to FR-6AE,2021-11-25
GB,GB-ABC,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ABD,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ABE,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AGB,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AGY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-AND,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ANN,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-ANS,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BAS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BBD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BCP,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BDF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BDG,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BEN,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BEX,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BFS,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BGE,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BGW,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BIR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNH,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BNS,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BOL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BPL,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRC,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BRY,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BST,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-BUR,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CAM,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CAY,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CBF,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CCG,,,,GB-NIR,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CGN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CHE,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CHW,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CLD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CLK,,,,GB-SCT,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMA,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMD,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CMN,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CON,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-COV,,,,GB-ENG,,,,,Updating subdivision parent code,2021-11-25
GB,GB-CRF,,,,GB-WLS,,,,,Updating subdivision parent code,2021-11-25
